Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Year,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23,Chg_Avg_Spnd_Per_Dsg_Unt_22_23,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Avg_Spnd_Per_Dsg_Unt_Wghtd,Outlier_Flag,Tot_Benes,Tot_Clms,Tot_Dsg_Unts,Tot_Spndng,ATC_Codes,Disease_Category
Abiraterone Acetate,Abiraterone Acetate,19,Overall,2021,-0.061795304,-0.03906461,19584.21073,3014.711113,33.70406617,0.0,30513.0,198219.0,21120289.0,597573022.1,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,19,Overall,2022,-0.061795304,-0.03906461,19634.45579,3050.439388,34.98084024,0.0,35733.0,229999.0,24165984.0,701598008.7,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,19,Overall,2023,-0.061795304,-0.03906461,19217.04555,2779.740348,33.61432735,0.0,45661.0,315666.0,32615964.0,877469516.8,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Mylan,2019,0.193300791,-0.088637337,22305.78926,5460.922573,46.22212867,0.0,4018.0,16412.0,1938999.0,89624661.26,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Mylan,2020,0.193300791,-0.088637337,16171.53764,4356.438953,38.1716888,0.0,2876.0,10676.0,1227017.0,46509342.26,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Mylan,2021,0.193300791,-0.088637337,24156.70083,6703.087596,103.3830901,0.0,4349.0,15673.0,1174828.0,105057491.9,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Mylan,2022,0.193300791,-0.088637337,22223.69018,6277.463918,102.8391372,0.0,2908.0,10295.0,663377.0,64626491.04,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Mylan,2023,0.193300791,-0.088637337,18852.84996,5786.272138,93.7237499,0.0,2560.0,8341.0,552021.0,48263295.9,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,"Civicascript, L",2022,-0.0272329,-0.0272329,404.6032353,205.3210448,1.81964418,0.0,34.0,67.0,7560.0,13756.51,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,"Civicascript, L",2023,-0.0272329,-0.0272329,967.7436,192.3178855,1.770089991,0.0,125.0,629.0,68340.0,120967.95,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,2019,-0.480624683,-0.039302301,8877.000872,2010.478675,17.63557544,0.0,1731.0,7643.0,871312.0,15366088.51,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,2020,-0.480624683,-0.039302301,1901.607214,296.3412487,2.620230686,0.0,2053.0,13174.0,1489945.0,3903999.61,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,2021,-0.480624683,-0.039302301,1172.565404,180.6319696,1.582861806,0.0,2635.0,17105.0,1951977.0,3089709.84,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,2022,-0.480624683,-0.039302301,1032.751729,160.5460797,1.335759005,0.0,3390.0,21807.0,2621003.0,3501028.36,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,West-Ward/Hikma,2023,-0.480624683,-0.039302301,1065.511642,161.8253376,1.283260603,0.0,4008.0,26390.0,3327906.0,4270570.66,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Bluepoint/Oncop,2021,-0.047469936,-0.077685603,10661.17805,3218.685995,27.3666303,0.0,839.0,2779.0,326848.0,8944728.38,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Bluepoint/Oncop,2022,-0.047469936,-0.077685603,14495.27617,3101.401753,26.92152896,0.0,1827.0,8539.0,983706.0,26482869.57,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Bluepoint/Oncop,2023,-0.047469936,-0.077685603,13064.75928,2842.98915,24.83011376,0.0,2845.0,13074.0,1496942.0,37169240.15,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Major Pharmaceu,2021,-0.221234979,-0.104129562,505.2002632,286.5314925,4.507539329,0.0,38.0,67.0,4259.0,19197.61,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Major Pharmaceu,2022,-0.221234979,-0.104129562,787.9433871,325.6832667,4.392814495,0.0,62.0,150.0,11121.0,48852.49,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Major Pharmaceu,2023,-0.221234979,-0.104129562,703.8782192,330.7925537,3.935392647,0.0,219.0,466.0,39170.0,154149.33,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Florida Pharmac,2022,9.749039046,9.749039046,220.70875,203.3195758,1.664899752,0.0,152.0,165.0,20150.0,33547.73,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Florida Pharmac,2023,9.749039046,9.749039046,4592.755909,1861.152127,17.89607244,1.0,4473.0,11038.0,1221311.0,20543397.18,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,2020,0.025553791,-0.121431895,2988.572282,2988.572282,25.29810647,0.0,149.0,149.0,17602.0,445297.27,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,2021,0.025553791,-0.121431895,12789.01892,2735.296984,23.87833223,0.0,2589.0,12105.0,1386645.0,33110769.99,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,2022,0.025553791,-0.121431895,13031.75305,3153.056471,31.05903196,0.0,3104.0,12829.0,1415352.0,40450561.47,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,2023,0.025553791,-0.121431895,9804.646989,2633.916504,27.28747487,0.0,6327.0,23552.0,2546049.0,62034001.5,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Novugen Pharma,2022,0.608521296,0.608521296,9849.442059,4784.014714,60.84302094,0.0,68.0,140.0,13840.0,669762.06,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Novugen Pharma,2023,0.608521296,0.608521296,28483.06052,5892.081037,97.86729491,0.0,3786.0,18302.0,1144387.0,107836867.1,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,2019,-0.148808005,-0.182005176,9651.908887,4162.957676,36.57153501,0.0,2138.0,4957.0,564258.0,20635781.2,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,2020,-0.148808005,-0.182005176,14446.79068,3363.324769,29.56140593,0.0,12624.0,54225.0,6169405.0,182376285.6,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,2021,-0.148808005,-0.182005176,14908.65419,2778.296421,24.81404082,0.0,15670.0,84087.0,9414775.0,233618611.2,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,2022,-0.148808005,-0.182005176,13436.93161,2620.562149,23.46944158,0.0,16102.0,82563.0,9218859.0,216361472.7,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,2023,-0.148808005,-0.182005176,9645.910164,2153.912292,19.19788172,1.0,23225.0,104009.0,11669322.0,224026263.6,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Amneal Pharmace,2019,0.172457741,0.340325554,16520.62264,5401.814611,46.37267548,0.0,1234.0,3774.0,439622.0,20386448.34,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Amneal Pharmace,2020,0.172457741,0.340325554,10641.11885,2853.85778,24.88315967,0.0,2263.0,8438.0,967757.0,24080851.95,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Amneal Pharmace,2021,0.172457741,0.340325554,22603.29325,4766.018306,72.58365181,0.0,4355.0,20654.0,1807128.0,98437342.1,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Amneal Pharmace,2022,0.172457741,0.340325554,17815.09949,4286.395113,65.37935763,0.0,5237.0,21766.0,1882144.0,93297676.03,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Amneal Pharmace,2023,0.172457741,0.340325554,19565.99974,5382.69658,87.62962374,0.0,6312.0,22944.0,1541073.0,123500590.3,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Dr.Reddy'S Lab,2020,0.021273543,0.148815147,6023.03,3939.59195,31.30723311,0.0,104.0,159.0,20008.0,626395.12,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Dr.Reddy'S Lab,2021,0.021273543,0.148815147,7701.452343,3377.334147,31.13566504,0.0,239.0,545.0,59117.0,1840647.11,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Dr.Reddy'S Lab,2022,0.021273543,0.148815147,9888.168653,3266.326306,29.02824488,0.0,1648.0,4989.0,561374.0,16295701.94,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Dr.Reddy'S Lab,2023,0.021273543,0.148815147,8191.269813,3252.881604,33.34808741,0.0,2671.0,6726.0,711446.0,21878881.67,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,"Celltrion USA,",2020,1.43393858,0.050689369,942.8207777,373.1843883,3.219713727,0.0,1003.0,2534.0,293706.0,945649.24,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,"Celltrion USA,",2021,1.43393858,0.050689369,1759.38879,378.6439695,3.360533163,0.0,2784.0,12936.0,1457548.0,4898138.39,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,"Celltrion USA,",2022,1.43393858,0.050689369,16535.77128,3606.278955,44.18468523,0.0,7306.0,33500.0,3321888.0,120810345.0,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,"Celltrion USA,",2023,1.43393858,0.050689369,8508.576459,3428.501895,46.42437902,0.0,5470.0,13575.0,1252560.0,46541913.23,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Rising Pharm,2020,-0.125146137,-0.299513784,16586.27456,3938.957958,34.51692852,0.0,3140.0,13222.0,1508851.0,52080902.12,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Rising Pharm,2021,-0.125146137,-0.299513784,15429.86298,3733.55975,33.56106388,0.0,3533.0,14601.0,1624314.0,54513705.91,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Rising Pharm,2022,-0.125146137,-0.299513784,9394.960334,3684.795472,32.99431311,0.0,2034.0,5186.0,579171.0,19109349.32,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Rising Pharm,2023,-0.125146137,-0.299513784,5595.949629,2569.630024,23.11206153,0.0,3421.0,7450.0,828301.0,19143743.68,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Glenmark Pharma,2021,0.154831471,-0.130599487,3145.95973,2466.1125,22.07230545,0.0,185.0,236.0,26368.0,582002.55,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Glenmark Pharma,2022,0.154831471,-0.130599487,10279.31746,3207.875989,33.85829047,0.0,3591.0,11507.0,1225947.0,36913029.0,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Glenmark Pharma,2023,0.154831471,-0.130599487,7729.440023,2548.326564,29.43641511,1.0,7724.0,23428.0,2504970.0,59702194.74,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Apotex Corp,2019,-0.119138847,-0.39502793,18751.55312,6040.960875,51.73806413,0.0,6121.0,19000.0,2218449.0,114778256.6,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Apotex Corp,2020,-0.119138847,-0.39502793,15110.7953,4092.093479,35.96336436,0.0,4741.0,17507.0,1992035.0,71640280.53,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Apotex Corp,2021,-0.119138847,-0.39502793,12134.04974,3167.463154,31.63293566,0.0,3612.0,13837.0,1497395.0,43828187.66,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Apotex Corp,2022,-0.119138847,-0.39502793,15089.49453,4014.210586,51.48784095,0.0,3548.0,13337.0,1295976.0,53537526.58,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Apotex Corp,2023,-0.119138847,-0.39502793,10140.36912,2854.943404,31.14870572,0.0,9901.0,35167.0,3647415.0,100399794.7,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Wockhardt USA L,2019,-0.162660933,-0.216763086,10425.98702,4987.66552,43.53152814,0.0,819.0,1712.0,196154.0,8538883.37,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Wockhardt USA L,2020,-0.162660933,-0.216763086,9629.725111,3372.118789,30.23627541,0.0,1573.0,4492.0,500973.0,15147557.6,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Wockhardt USA L,2021,-0.162660933,-0.216763086,6780.779527,2647.304049,24.52466459,0.0,1352.0,3463.0,373812.0,9167613.92,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Wockhardt USA L,2022,-0.162660933,-0.216763086,7590.162092,2979.97126,27.32223244,0.0,1190.0,3031.0,330584.0,9032292.89,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Wockhardt USA L,2023,-0.162660933,-0.216763086,2860.263415,2057.382456,21.39978102,0.0,41.0,57.0,5480.0,117270.8,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Teva USA,2019,-0.085697974,0.172911209,17345.31134,5841.997222,49.84559102,0.0,679.0,2016.0,236279.0,11777466.4,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Teva USA,2020,-0.085697974,0.172911209,11119.63957,4192.439513,37.44645895,0.0,325.0,862.0,96508.0,3613882.86,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Teva USA,2021,-0.085697974,0.172911209,15863.8916,3850.459126,33.28554679,0.0,25.0,103.0,11915.0,396597.29,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Teva USA,2022,-0.085697974,0.172911209,11821.31429,3232.390625,29.69753086,0.0,35.0,128.0,13932.0,413746.0,L01XK|L02BX,Other / Not classified
Abiraterone Acetate,Abiraterone Acetate,1,Teva USA,2023,-0.085697974,0.172911209,18243.01763,3798.546137,34.83256684,1.0,76.0,365.0,41714.0,1386469.34,L01XK|L02BX,Other / Not classified
Abraxane,Paclitaxel Protein-Bound,1,Overall,2019,0.047226247,0.007079266,26435.8455,7397.59374,1393.342284,0.0,333.0,1190.0,6318.0,8803136.55,L01CD,Other / Not classified
Abraxane,Paclitaxel Protein-Bound,1,Overall,2020,0.047226247,0.007079266,30698.86304,7615.036789,1479.295666,0.0,319.0,1286.0,6620.0,9792937.31,L01CD,Other / Not classified
Abraxane,Paclitaxel Protein-Bound,1,Overall,2021,0.047226247,0.007079266,31058.25638,7945.737258,1567.979725,0.0,307.0,1200.0,6081.0,9534884.71,L01CD,Other / Not classified
Abraxane,Paclitaxel Protein-Bound,1,Overall,2022,0.047226247,0.007079266,28318.44459,7691.429395,1664.011167,0.0,220.0,810.0,3744.0,6230057.81,L01CD,Other / Not classified
Abraxane,Paclitaxel Protein-Bound,1,Overall,2023,0.047226247,0.007079266,29969.06815,8006.757479,1675.791145,0.0,249.0,932.0,4453.0,7462297.97,L01CD,Other / Not classified
