,Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Year,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23,Chg_Avg_Spnd_Per_Dsg_Unt_22_23,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Avg_Spnd_Per_Dsg_Unt_Wghtd,Outlier_Flag,Tot_Benes,Tot_Clms,Tot_Dsg_Unts,Tot_Spndng,ATC_Codes,Disease_Category
258,Acamprosate Calcium,Acamprosate Calcium,6,Overall,2022,-0.014945613,-0.032386078,539.26162603,164.84404227,0.9769674869,0.0,13739.0,44945.0,7575486.0,7408915.48,N07BB,Other / Not classified
259,Acamprosate Calcium,Acamprosate Calcium,6,Overall,2023,-0.014945613,-0.032386078,513.3748836,161.11950629,0.945327342,0.0,15765.0,50232.0,8557788.0,8093355.04,N07BB,Other / Not classified
290,Acanya,Clindamycin Phos/Benzoyl Perox,1,Overall,2019,0.0118357057,0.0069050985,1088.1378571,569.49271028,10.597516522,0.0,56.0,107.0,5750.0,60935.72,,Other / Not classified
291,Acanya,Clindamycin Phos/Benzoyl Perox,1,Overall,2020,0.0118357057,0.0069050985,2247.4593333,561.86483333,10.702187302,0.0,15.0,60.0,3150.0,33711.89,,Other / Not classified
300,Acarbose,Acarbose,5,Overall,2019,0.0047166575,-0.018392438,199.31151695,50.478304948,0.3438656995,0.0,44062.0,173977.0,25533931.0,8782064.06,A10BF,Diabetes
301,Acarbose,Acarbose,5,Overall,2020,0.0047166575,-0.018392438,243.9177157,57.934822919,0.3749768894,0.0,43961.0,185085.0,28611239.991,10722866.7,A10BF,Diabetes
302,Acarbose,Acarbose,5,Overall,2021,0.0047166575,-0.018392438,242.72939412,59.524846148,0.3708114546,0.0,44200.0,180238.0,28967751.5,10728639.22,A10BF,Diabetes
303,Acarbose,Acarbose,5,Overall,2022,0.0047166575,-0.018392438,233.92419894,57.932497375,0.3569647831,0.0,43168.0,174307.0,28434387.0,10098039.82,A10BF,Diabetes
304,Acarbose,Acarbose,5,Overall,2023,0.0047166575,-0.018392438,227.89704234,57.623411766,0.3503993305,0.0,42919.0,169742.0,28183233.0,9781113.16,A10BF,Diabetes
330,Accolate,Zafirlukast,1,Overall,2019,-0.005157148,-0.00924336,1894.8469504,365.49031464,3.7665431835,0.0,141.0,731.0,70926.0,267173.42,R03DC,Other / Not classified
331,Accolate,Zafirlukast,1,Overall,2020,-0.005157148,-0.00924336,1997.7868595,380.68064567,3.7231384478,0.0,121.0,635.0,64927.0,241732.21,R03DC,Other / Not classified
332,Accolate,Zafirlukast,1,Overall,2021,-0.005157148,-0.00924336,2110.7239806,417.28324376,3.7946403214,0.0,103.0,521.0,57295.0,217404.57,R03DC,Other / Not classified
333,Accolate,Zafirlukast,1,Overall,2022,-0.005157148,-0.00924336,1645.7813187,418.34106145,3.7238647116,0.0,91.0,358.0,40235.0,149766.1,R03DC,Other / Not classified
340,Accutane,Isotretinoin,1,Overall,2019,0.0945422971,0.1811255193,,,,nan,,,,,D10AD|D10BA,Other / Not classified
341,Accutane,Isotretinoin,1,Overall,2020,0.0945422971,0.1811255193,,,,nan,,,,,D10AD|D10BA,Other / Not classified
342,Accutane,Isotretinoin,1,Overall,2021,0.0945422971,0.1811255193,365.91,169.98968504,3.5614410069,0.0,59.0,127.0,6010.0,21588.69,D10AD|D10BA,Other / Not classified
343,Accutane,Isotretinoin,1,Overall,2022,0.0945422971,0.1811255193,432.0022314,169.16592233,3.6123914017,0.0,121.0,309.0,14470.0,52272.27,D10AD|D10BA,Other / Not classified
344,Accutane,Isotretinoin,1,Overall,2023,0.0945422971,0.1811255193,433.21145833,196.17122642,4.2666876702,0.0,192.0,424.0,19470.0,83176.6,D10AD|D10BA,Other / Not classified
350,Acebutolol HCl,Acebutolol HCl,3,Overall,2019,0.0881730797,0.1526107885,206.64081315,48.140287778,0.4684252599,0.0,21226.0,91112.0,9371270.0,4386157.9,,Other / Not classified
351,Acebutolol HCl,Acebutolol HCl,3,Overall,2020,0.0881730797,0.1526107885,269.53172795,61.723086084,0.5719215227,0.0,20614.0,90017.0,9727562.0,5556127.04,,Other / Not classified
352,Acebutolol HCl,Acebutolol HCl,3,Overall,2021,0.0881730797,0.1526107885,253.44313688,59.324995181,0.5337176595,0.0,20157.0,86113.0,9595214.0,5108653.31,,Other / Not classified
353,Acebutolol HCl,Acebutolol HCl,3,Overall,2022,0.0881730797,0.1526107885,268.79579492,63.832484217,0.5698355461,0.0,19222.0,80943.0,9087748.0,5166792.77,,Other / Not classified
354,Acebutolol HCl,Acebutolol HCl,3,Overall,2023,0.0881730797,0.1526107885,310.56359833,73.944489304,0.6567985981,0.0,18164.0,76288.0,8673062.0,5641077.2,,Other / Not classified
370,Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,Overall,2019,0.0138497653,-0.003838261,482.33948548,208.84623787,2.627263884,0.0,1205.0,2783.0,221226.0,581219.08,,Other / Not classified
371,Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,Overall,2020,0.0138497653,-0.003838261,587.51948798,220.75231645,2.7624407967,0.0,957.0,2547.0,203536.0,562256.15,,Other / Not classified
372,Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,Overall,2021,0.0138497653,-0.003838261,695.27299875,219.5453962,2.817890749,0.0,797.0,2524.0,196648.0,554132.58,,Other / Not classified
373,Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,Overall,2022,0.0138497653,-0.003838261,788.381875,207.4426692,2.7865591014,0.0,416.0,1581.0,117696.0,327966.86,,Other / Not classified
374,Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,Overall,2023,0.0138497653,-0.003838261,934.65097872,206.43137218,2.7758635594,0.0,235.0,1064.0,79126.0,219642.98,,Other / Not classified
380,Acetaminophen,Acetaminophen,6,Overall,2019,-0.263082868,-0.3663308,,,,nan,,,,,N02AJ|N02BE,Other / Not classified
381,Acetaminophen,Acetaminophen,6,Overall,2020,-0.263082868,-0.3663308,,,,nan,,,,,N02AJ|N02BE,Other / Not classified
382,Acetaminophen,Acetaminophen,6,Overall,2021,-0.263082868,-0.3663308,437.52,298.972,0.2951489732,0.0,82.0,120.0,138701.0,35876.64,N02AJ|N02BE,Other / Not classified
383,Acetaminophen,Acetaminophen,6,Overall,2022,-0.263082868,-0.3663308,799.03533333,434.25833333,0.252939109,0.0,75.0,138.0,230800.0,59927.65,N02AJ|N02BE,Other / Not classified
384,Acetaminophen,Acetaminophen,6,Overall,2023,-0.263082868,-0.3663308,313.73698718,139.83705714,0.1602797227,0.0,156.0,350.0,312100.0,48942.97,N02AJ|N02BE,Other / Not classified
415,Acetaminophen-Codeine,Acetaminophen With Codeine,10,Overall,2019,0.0341831837,-0.152511742,23.51699557,10.884941949,0.2154361299,0.0,1417793.0,3063152.0,154584495.96,33342231.7,,Other / Not classified
416,Acetaminophen-Codeine,Acetaminophen With Codeine,10,Overall,2020,0.0341831837,-0.152511742,29.210431481,12.83959973,0.2465406138,0.0,1260147.0,2866868.0,147259466.93,36809437.6,,Other / Not classified
417,Acetaminophen-Codeine,Acetaminophen With Codeine,10,Overall,2021,0.0341831837,-0.152511742,33.539392452,14.739400967,0.2858906287,0.0,1210143.0,2753671.0,138481391.92,40587461.0,,Other / Not classified
418,Acetaminophen-Codeine,Acetaminophen With Codeine,10,Overall,2022,0.0341831837,-0.152511742,33.751118054,14.858741471,0.2907868317,0.0,1146260.0,2603690.0,129382536.82,38687556.58,,Other / Not classified
