Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spnd_Per_Dsg_Unt_Wghtd_2019,Avg_Spnd_Per_Clm_2019,Avg_Spnd_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,Avg_Spnd_Per_Clm_2020,Avg_Spnd_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,Avg_Spnd_Per_Clm_2021,Avg_Spnd_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,Avg_Spnd_Per_Clm_2022,Avg_Spnd_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spnd_Per_Dsg_Unt_Wghtd_2023,Avg_Spnd_Per_Clm_2023,Avg_Spnd_Per_Bene_2023,Outlier_Flag_2023,Chg_Avg_Spnd_Per_Dsg_Unt_22_23,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23
Oxycodone HCl,Oxycodone HCl,1,Camber Pharmace,3380180.22,11684593,106176,24355,0.2862736732,31.835633476,138.78793759,0,2590457.02,8959706,80096,23344,0.2866509367,32.341902467,110.96885795,0,5265426.07,13957019.5,125161,24738,0.3741659414,42.0692234,212.84768656,0,4534893.02,10524974.5,94020,20986,0.426379366,48.233280366,216.09134757,0,145988.05,461863,4577,2171,0.3146692023,31.896012672,67.244610778,0,-0.261997115,0.0239251423
Oxycodone HCl,Oxycodone HCl,1,Bryant Ranch Pr,,,,,,,,,,,,,,,,,243.49,959,11,11,0.2638892013,22.135454545,22.135454545,1,,,,,,,,,2897.9,8841,90,73,0.3255150403,32.198888889,39.697260274,1,,0.1106436056
Oxycodone HCl,Oxycodone HCl,1,Aurobindo Pharm,4142739.4,18222644.86,275038,132192,0.2213305472,15.062425556,31.338805677,0,2710604.37,11476264.836,179185,91111,0.2250667534,15.127406703,29.750572049,0,1546455.89,4466661.073,65268,36010,0.3087424567,23.693937151,42.945178839,0,835816.07,2876196.78,45075,28584,0.2562757206,18.542785801,29.240696544,0,239281.26,805972.5,9902,4852,0.2848380184,24.164942436,49.316005771,0,0.1114514387,0.0650969707
Oxycodone HCl,Oxycodone HCl,1,Ani Pharmaceuti,988086.46,3760555,15485,7557,0.539469232,63.809264449,130.75115257,0,1163764.26,4103047,18392,8915,0.6286653821,63.275568726,130.54001795,0,1281677.66,4267284.5,22488,11957,0.6564642144,56.993848275,107.19057121,0,1434356.07,4486889,25662,14434,0.7118879158,55.894165303,99.37342871,0,1828559.46,4959990.195,38074,22416,0.798812423,48.026460577,81.573851713,0,0.1221042038,0.1031118057
Oxycodone HCl,Oxycodone HCl,1,Amneal Pharmace,7783151.17,28168106,359797,131467,0.2656994084,21.632062441,59.202318224,0,7537586.15,26788099.168,349164,130254,0.27020331,21.587523771,57.868366039,0,9390733.44,28797390.6,384821,173713,0.3030022443,24.402861174,54.058898528,0,15243781.55,44671626.35,611134,230968,0.3185992903,24.943435564,65.999539114,0,2863189.5,10215112,156179,102192,0.2608065192,18.332743199,28.017746008,0,-0.181396421,-0.004635921
Oxycodone HCl,Oxycodone HCl,1,Alvogen Inc,5577402.08,17982902.213,187863,53414,0.2962832945,29.688667167,104.41835624,0,5615980.55,17456797.6,180316,45962,0.3089528541,31.14521479,122.18747117,0,6902274.45,16843043.045,183239,54917,0.3852624396,37.668151704,125.68557004,0,7471996.84,18542460.457,203251,57271,0.3779323118,36.762411206,130.46737162,0,5002476.62,16075495.9,203057,82149,0.2910194142,24.635824522,60.895161475,0,-0.229969481,-0.004471496
Oxycodone HCl,Oxycodone HCl,1,AHP,13304.7,25713.5,1233,708,0.5993714648,10.790510949,18.791949153,0,7764.64,12467.5,714,472,0.7537873767,10.874845938,16.450508475,0,6431.08,16339,588,487,0.4583804731,10.937210884,13.20550308,0,5955.52,15107.428,661,489,0.4036812316,9.0098638427,12.178977505,0,23571.68,85249,2389,2014,0.2775836629,9.8667559648,11.703912612,0,-0.312369164,-0.175056016
Oxycodone HCl ER,Oxycodone HCl,5,Overall,21801235.46,3621106,62324,22797,5.4550549806,349.80481773,956.32036935,0,16446409.12,2838638.99,49454,13622,5.2814202023,332.5597347,1207.3417354,0,12570452.59,1913760.988,32480,9917,5.9526147764,387.02132358,1267.5660573,0,9586998.82,1477185,26674,8404,5.9335148311,359.41361701,1140.7661614,0,6461701.6,722943,13685,5310,7.8020622329,472.17402996,1216.8929567,0,0.3149140863,0.0935850625
Oxycodone HCl ER,Oxycodone HCl,1,Teva USA,13367889.59,2463668,43838,18131,4.8996201184,304.93840025,737.29466604,0,9027491.84,1670528,30080,9760,4.86254826,300.11608511,924.94793443,0,4317372.91,817600,15103,6071,4.7073242795,285.861942,711.14691319,0,4696480.8,857734,16074,5638,4.974880198,292.1787234,833.00475346,0,816010.29,174655,3690,2212,4.3279586101,221.141,368.90157776,0,-0.130037621,-0.03053938
Oxycodone HCl ER,Oxycodone HCl,1,"KVK-Tech, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,16704.18,2147,41,36,7.1945939215,407.41902439,464.005,1,17129.81,3217,76,60,5.1958774807,225.39223684,285.49683333,1,-0.277808096,-0.277808096
