Gnrc_Name,ATC_Codes,Disease_Category
Prednisolone Sodium Phosphate,A01AC|A07EA|C05AA|D07AA|D07XA|H02AB|R01AD|S01BA|S01CB|S02BA|S03BA,
Prednisone,A07EA|H02AB,
Pregabalin,N02BF,
Prenatal 147/Iron/Folic Acid,,
Prenatal 26/Iron Ps/Folic/DHA,,
Prenatal 48/Iron/Folic Acid/B6,,
Prenatal Vit 10/Iron Fum/Folic,,
Prenatal Vit 10/Iron/Folic/DHA,,
Prenatal Vit 14/Iron Fum/Folic,,
Prenatal Vit 85/Iron/FA 1/DHA,,
Prenatal Vit 87/Iron/Folic/DHA,,
Prenatal Vit No.170/Iron/Folic,,
Prenatal Vit No.180/Iron/Folic,,
"Prenatal Vit,Calc76/Iron/Folic",,
Prenatal Vit103/Iron Fum/Folic,,
"Prenatal Vit27,Calcium/Iron/FA",,
"Prenatal,Calc.40/Iron/Folate 1",,
Pretomanid,J04AK,
Primaquine Phosphate,P01BA,
Primidone,N03AA,
Probenecid,M04AB|M04AC,Arthritis
Probenecid/Colchicine,,
Procarbazine HCl,,
Prochlorperazine,N05AB,
Prochlorperazine Edisylate,N05AB,
Prochlorperazine Maleate,N05AB,
Progesterone,G03DA,
"Progesterone, Micronized",G03DA,
Promethazine HCl,,
Promethazine HCl/Codeine,,
Promethazine/Dextromethorphan,,
Promethazine/Phenyleph/Codeine,,
Propafenone HCl,,
Proparacaine HCl,,
Propranolol HCl,,
Propylthiouracil,H03BA,
Protriptyline HCl,,
Prucalopride Succinate,A06AX,
Pyrazinamide,J04AK|J04AM,
Pyridostigmine Bromide,N07AA,
Pyrimethamine,P01BD,
Quetiapine Fumarate,N05AH,
Quinapril HCl,,
Quinapril/Hydrochlorothiazide,,
Quinidine Gluconate,C01BA,
Quinidine Sulfate,C01BA,
Quinine Sulfate,P01BC,
Quizartinib Dihydrochloride,L01EX,
Rabeprazole Sodium,A02BC,
"Rabies Vacc, Human Diploid/PF",,
Rabies Vaccine (Pcec)/PF,,
Raloxifene HCl,,
Raltegravir Potassium,J05AJ,
Ramelteon,N05CH,
Ramipril,C09AA|C09BB,Hypertension
Ramucirumab,L01FG,
Ranibizumab,S01LA,
Ranibizumab-Eqrn,S01LA,
Ranolazine,C01EB,
Rasagiline Mesylate,N04BD,
Rasburicase,V03AF,
Ravulizumab-Cwvz,L04AJ,Arthritis
Regorafenib,L01EX,
Relugolix,L02BX,
Relugolix/Estradiol/Norethindr,,
Remdesivir,J05AB,
Repaglinide,A10BD|A10BX,Diabetes
Reslizumab,R03DX,
Retapamulin,D06AX,
Revefenacin,R03BB,
Rezafungin Acetate,J02AX,
Ribavirin,J05AP,
Ribociclib Succinate,L01EF,
Ribociclib Succinate/Letrozole,,
Rifabutin,A02BD|J04AB,
Rifampin,J04AB|J04AM,
Rifamycin Sodium,,
Rifapentine,J04AB,
Rifaximin,A07AA|D06AX,
Rilonacept,L04AC,Arthritis
Rilpivirine HCl,,
Riluzole,N07XX,
Rimabotulinumtoxinb,,
Rimantadine HCl,,
Rimegepant Sulfate,N02CD,
"Ringer'S Solution,Lactated",,
Riociguat,C02KX,Hypertension
Ripretinib,L01EX,
Risankizumab-Rzaa,L04AC,Arthritis
Risdiplam,M09AX,
Risedronate Sodium,,
Risperidone,N05AX,
Risperidone Microspheres,,
Ritlecitinib Tosylate,L04AF,Arthritis
Ritonavir,J05AE|J05AP|J05AR,
Rituximab,L01FA,
Rituximab-Abbs,L01FA,
Rituximab-Arrx,L01FA,
Rituximab-Pvvr,L01FA,
"Rituximab/Hyaluronidase,Human",,
Rivaroxaban,B01AF,
Rivastigmine,N06DA,
Rivastigmine Tartrate,N06DA,
Rizatriptan Benzoate,N02CC,
Roflumilast,D05AX|R03DX,
Rolapitant HCl,,
Romidepsin,L01XH,
Romiplostim,B02BX,
Romosozumab-Aqqg,M05BX,
Ropeginterferon Alfa-2b-Njft,L03AB,
Ropinirole HCl,,
Ropivacaine HCl/PF,,
Rosuvastatin Calcium,C10AA,High Cholesterol
Rotigotine,N04BC,
Rozanolixizumab-Noli,L04AG,Arthritis
"Rsv Vacc, Pref A And Pref B/PF",,
Rsvpref3 Antigen/As01e/PF,,
Rucaparib Camsylate,L01XK,
Rufinamide,N03AF,
Ruxolitinib Phosphate,D11AH|L01EJ,
Sacituzumab Govitecan-Hziy,,
Sacrosidase,A16AB,
Sacubitril/Valsartan,,
Safinamide Mesylate,N04BD,
Salicylic Acid,D01AE|N02BA|S01BC,
Salmeterol Xinafoate,R03AC,
Salsalate,N02BA,
Sapropterin Dihydrochloride,A16AX,
Sarecycline HCl,,
Sargramostim,L03AA,
Sarilumab,L04AC,Arthritis
Satralizumab-Mwge,L04AC,Arthritis
Saxagliptin HCl,,
Saxagliptin HCl/Metformin HCl,,
Scopolamine,A04AD|N05CM|S01FA,
Secnidazole,P01AB,
Secukinumab,L04AC,Arthritis
Segesterone Ac/Ethin Estradiol,,
Selegiline,N04BD,
Selegiline HCl,,
Selenium Sulfide,D01AE,
Selexipag,B01AC,
Selinexor,L01XX,
Selpercatinib,L01EX,
Selumetinib/Vitamin E Tpgs,,
Semaglutide,A10BJ,Diabetes
Serdexmethylphen/Dexmethylphen,,
Sertaconazole Nitrate,D01AC|G01AF,
Sertraline HCl,,
Sevelamer Carbonate,V03AE,
Sevelamer HCl,,
Sildenafil Citrate,G04BE,
Silodosin,G04CA,
Silver Nitrate,D08AL,
Silver Sulfadiazine,D06BA,
Simvastatin,A10BH|C10AA|C10BA,Diabetes;High Cholesterol
Sinecatechins,D06BB,
Siponimod,L04AE,Arthritis
Sirolimus,L01EG|L04AH|S01XA,Arthritis
Sitagliptin Phos/Metformin HCl,,
Sitagliptin Phosphate,A10BD|A10BH,Diabetes
Smallpox And Mpox Live Vacc/PF,,
Sod Phenylbutyrat/Taurursodiol,,
"Sod Phos,M-B/K Phos,Monob",,
"Sod Phosphate,Monobasic-Dibas",,
Sod Picosulf/Mag Ox/Citric Ac,,
Sod Sulf/Pot Chloride/Mag Sulf,,
"Sod,Pot Chlor/Mag/Sod,Pot Phos",,
Sod/Pot/K Cit/Sod Cit/Cit Acid,,
Sodium Acetate,B05XA,
Sodium Bicarbonate,B05CB|B05XA,
Sodium Chloride,A12CA|B05CB|B05XA,
Sodium Chloride 0.45 %,,
Sodium Chloride 3 %,,
Sodium Chloride For Inhalation,,
Sodium Chloride Irrig Solution,,
Sodium Chloride/NaHCO3/KCl/PEG,,
Sodium Fluoride/Potassium Nit,,
Sodium Oxybate,N01AX|N07XX,
Sodium Phenylbutyrate,A16AX,
Sodium Polystyrene Sulfon/Sorb,,
Sodium Polystyrene Sulfonate,,
Sodium Zirconium Cyclosilicate,V03AE,
"Sodium, Potassium,Mag Sulfates",,
"Sodium,Calcium,Mag,Pot Oxybate",,
Sodium/Pot/Mag/Calc/Chlor/Acet,,
Sofosbuvir,J05AP,
Sofosbuvir/Velpatas/Voxilaprev,,
Sofosbuvir/Velpatasvir,,
Solifenacin Succinate,G04BD,
Solriamfetol HCl,,
Somapacitan-Beco,H01AC,
Somatropin,H01AC,
Sonidegib Phosphate,L01XJ,
Sorafenib Tosylate,L01EX,
Sotagliflozin,A10BK,Diabetes
Sotalol HCl,,
Sotorasib,L01XX,
Sparsentan,C09XX,Hypertension
Spesolimab-Sbzo,L04AC,Arthritis
Spinosad,,
Spironolact/Hydrochlorothiazid,,
Spironolactone,C03DA,Hypertension
Stiripentol,N03AX,
Streptomycin Sulfate,A07AA|J01GA,
"Sub-Q Insulin Device, 20 Unit",,
"Sub-Q Insulin Device, 30 Unit",,
"Sub-Q Insulin Device, 40 Unit",,
Succimer,,
Sucralfate,A02BX,
Sucroferric Oxyhydroxide,V03AE,
Sulconazole Nitrate,D01AC,
Sulfacetamide Sodium,D10AF|S01AB,
Sulfacetamide Sodium/Sulfur,,
Sulfacetamide/Prednisolone Sp,,
Sulfadiazine,J01EC|J01EE,
Sulfamethoxazole/Trimethoprim,,
Sulfasalazine,A07EC,
Sulindac,M01AB,Arthritis
Sumatriptan,N02CC,
Sumatriptan Succ/Naproxen Sod,,
Sumatriptan Succinate,N02CC,
Sunitinib Malate,L01EX,
Sutimlimab-Jome,L04AJ,Arthritis
Suvorexant,N05CJ,
"Syr,Ndl,Insulin,1ml-Sharps Bin",,
"Syr-Nd,Ins,0.5/Container,Empty",,
"Syrge-Ndl,Ins 0.3 Ml Half Mark",,
"Syrge-Ndl,Ins 0.5 Ml Half Mark",,
"Syring-Needl,Disp,Insul,0.3 Ml",,
"Syringe And Needle,Insulin,1ml",,
"Syringe With Needle, Insulin",,
"Syringe,Insul U-500,Ndl,0.5ml",,
"Syringe,Insulin,Needless 1 Ml",,
"Syringe,Needle,Insuln,Safe,1ml",,
"Syringe,Needle,Insuln,Sf 0.5ml",,
"Syringe,Needle,Insuln,Sf,0.3ml",,
"Syringe-Needle,Insulin,0.5 Ml",,
Tacrolimus,D11AH|L04AD,Arthritis
Tadalafil,C02KX|G04BE|G04CB,Hypertension
Tafamidis,N07XX,
Tafamidis Meglumine,N07XX,
Tafasitamab-Cxix,L01FX,
Tafenoquine Succinate,P01BA,
Tafluprost/PF,,
Talazoparib Tosylate,L01XK,
Taliglucerase Alfa,A16AB,
Tamoxifen Citrate,L02BA,
Tamsulosin HCl,,
Tapentadol HCl,,
Tapinarof,D05AX,
Tasimelteon,N05CH,
Tavaborole,D01AE,
Tazarotene,D05AX,
Tazemetostat Hydrobromide,L01XX,
Tbo-Filgrastim,L03AA,
Teclistamab-Cqyv,L01FX,
Tedizolid Phosphate,J01XX,
Teduglutide,A16AX,
Telavancin HCl,,
Telmisartan,C09CA|C09DB,Hypertension
Telmisartan/Amlodipine,,
Telmisartan/Hydrochlorothiazid,,
Telotristat Etiprate,,
Temazepam,N05CD,
Temozolomide,L01AX,
Temsirolimus,L01EG,
Tenapanor HCl,,
Tenofovir Alafenamide,J05AF|J05AR,
Tenofovir Disoproxil Fumarate,J05AF|J05AR,
Tepotinib HCl,,
Teprotumumab-Trbw,L04AG,Arthritis
Terazosin HCl,,
Terbinafine HCl,,
Terbutaline Sulfate,R03AC|R03CC,
Terconazole,G01AG,
Teriflunomide,L04AK,Arthritis
Teriparatide,H05AA,
Tesamorelin Acetate,H01AC,
Testosterone,G03BA|G03EA,
Testosterone Cypionate,G03BA,
Testosterone Enanthate,G03BA,
Testosterone Undecanoate,G03BA,
"Tetanus, Diphtheria Tox,Adult",,
"Tetanus,Diphtheria Toxd Ped/PF",,
Tetanus-Diphtheria Toxoids/PF,,
Tetrabenazine,N07XX,
Tetracaine HCl,,
Tetracaine HCl/PF,,
Tetracycline HCl,,
Tezacaftor/IVacaftor,,
Tezepelumab-Ekko,R03DX,
Thalidomide,L04AX,Arthritis
Theophylline Anhydrous,R03DA,
Thiamine HCl,,
Thioguanine,L01BB,
Thioridazine HCl,,
Thiothixene,N05AF,
"Thyroid,Pork",,
Thyrotropin Alfa,H01AB,
Tiagabine HCl,,
Ticagrelor,B01AC,
Tick-Borne Encephalitis Vaccin,,
Tigecycline,J01AA,
Tildrakizumab-Asmn,L04AC,Arthritis
Timolol,C07AA|S01ED,Hypertension
Timolol Maleate,C07AA|S01ED,Hypertension
Timolol Maleate/PF,,
Tinidazole,G01AF|J01XD|P01AB,
Tiopronin,G04BX,
Tiotropium Br/Olodaterol HCl,,
Tiotropium Bromide,R03BB,
Tipranavir,J05AE,
Tirbanibulin,D06BX,
Tirzepatide,A10BX,Diabetes
Tisotumab Vedotin-Tftv,,
Tivozanib HCl,,
Tizanidine HCl,,
Tobramycin,J01GB|S01AA,
Tobramycin In 0.225% Sod Chlor,,
Tobramycin Sulfate,J01GB|S01AA,
Tobramycin/Dexamethasone,,
Tobramycin/Lotepred Etab,,
Tocilizumab,L04AC,Arthritis
Tofacitinib Citrate,L04AF,Arthritis
Tofersen,N07XX,
Tolcapone,N04BX,
Tolterodine Tartrate,G04BD,
Tolvaptan,C03XA,Hypertension
Topiramate,A08AA|N03AX,Obesity
Topotecan HCl,,
Toremifene Citrate,L02BA,
Torsemide,C03CA,Hypertension
Trabectedin,L01CX,
Tralokinumab-Ldrm,D11AH,
Tramadol HCl,,
Tramadol HCl/Acetaminophen,,
Tramadol HCl/Celecoxib,,
Trametinib Dimethyl Sulfoxide,L01EE,
Trandolapril,C09AA|C09BB,Hypertension
Trandolapril/Verapamil HCl,,
Tranexamic Acid,B02AA,
Tranylcypromine Sulfate,N06AF,
Trastuzumab,L01FD,
Trastuzumab-Anns,L01FD,
Trastuzumab-Dkst,L01FD,
Trastuzumab-Dttb,L01FD,
Trastuzumab-Hyaluronidase-Oysk,,
Trastuzumab-Pkrb,L01FD,
Trastuzumab-Qyyp,L01FD,
Travoprost,S01EE,
Trazodone HCl,,
Tremelimumab-Actl,L01FX,
Treprostinil,B01AC,
Treprostinil Diolamine,B01AC,
Treprostinil Sodium,B01AC,
Treprostinil/Neb Accessories,,
Treprostinil/Nebulizer/Accesor,,
Tretinoin,D10AD|L01XF,
Tretinoin Microspheres,,
Tretinoin/Benzoyl Peroxide,,
TriHEPtanoin,A16AX,
Triamcinolone Acetonide,A01AC|C05AA|D07AB|D07XB|H02AB|R01AD|R03BA|S01BA,
Triamterene,C03DB,Hypertension
Triamterene/Hydrochlorothiazid,,
Triazolam,N05CD,
Trientine HCl,,
Trientine Tetrahydrochloride,A16AX,
Trifarotene,D10AD,
Trifluoperazine HCl,,
Trifluridine,S01AD,
Trifluridine/Tipiracil HCl,,
Trihexyphenidyl HCl,,
Trilaciclib Dihydrochloride,V03AF,
Trimethobenzamide HCl,,
Trimethoprim,J01EA|J01EE,
Trimipramine Maleate,N06AA,
Triptorelin Pamoate,L02AE,
Trofinetide,N07XX,
Tropicamide,S01FA,
Trospium Chloride,G04BD,
Tucatinib,L01EH,
Typhoid Vi Polysacch Vaccine,,
Ubidecarenone,C01EB,
Ublituximab-Xiiy,L04AG,Arthritis
Ubrogepant,N02CD,
Ulipristal Acetate,G03AD|G03XB,
Umeclidinium Brm/Vilanterol Tr,,
Umeclidinium Bromide,R03BB,
Upadacitinib,L04AF,Arthritis
Urea,B05BC|D02AE|V04CX,
Ursodiol,A05AA,
Ustekinumab,L04AC,Arthritis
Valacyclovir HCl,,
Valbenazine Tosylate,N07XX,
Valganciclovir HCl,,
Valproic Acid,N03AG,
Valproic Acid (As Sodium Salt),,
Valsartan,C09CA|C09DB|C09DX,Hypertension
Valsartan/Hydrochlorothiazide,,
Vancomycin HCl,,
Vancomycin HCl In 5 % Dextrose,,
Vancomycin/0.9 % Sod Chloride,,
Vancomycin/Water For Inj (PEG),,
Vandetanib,L01EX,
Vardenafil HCl,,
Varenicline Tartrate,N07BA|S01XA,
Varicella Vaccine Live/PF,,
Varicella-Zoster Ge/As01b/PF,,
Vedolizumab,L04AG,Arthritis
Velaglucerase Alfa,A16AB,
Vemurafenib,L01EC,
Venetoclax,L01XX,
Venlafaxine Besylate,N06AX,
Venlafaxine HCl,,
Verapamil HCl,,
Vericiguat,C01DX,
Vibegron,G04BD,
Vigabatrin,N03AG,
Vilazodone HCl,,
Viloxazine HCl,,
Vinblastine Sulfate,L01CA,
Vincristine Sulfate,L01CA,
Vinorelbine Tartrate,L01CA,
Vismodegib,L01XJ,
Vit B Comp No.3/Folic/C/Biotin,,
Voclosporin,L04AD,Arthritis
Vonoprazan Fumarate,A02BC,
Vorapaxar Sulfate,B01AC,
Voriconazole,J02AC,
Vorinostat,L01XH,
Vortioxetine Hydrobromide,N06AX,
Voxelotor,B06AX,
Vutrisiran Sodium,N07XX,
Warfarin Sodium,B01AA,
"Water For Irrigation,Sterile",,
Weed Pollen-Short Ragweed,,
Yellow Fever Vaccine Live/PF,,
Zafirlukast,R03DC,
Zaleplon,N05CF,
Zanamivir,J05AH,
Zanubrutinib,L01EL,
Zavegepant HCl,,
Ziconotide Acetate,N02BG,
Zidovudine,J05AF|J05AR,
Zileuton,,
Ziprasidone HCl,,
Ziprasidone Mesylate,N05AE,
Zoledronic Ac/Mannitol/0.9nacl,,
Zoledronic Acid,M05BA,
Zoledronic Acid/Mannitol-Water,,
Zolmitriptan,N02CC,
Zolpidem Tartrate,N05CF,
Zonisamide,N03AX,
