Gnrc_Name,ATC_Codes,Disease_Category
Capsaicin/Skin Cleanser,,
Captopril,C09AA,Hypertension
Carbamazepine,N03AF,
Carbidopa,,
Carbidopa/Levodopa,,
Carbidopa/Levodopa/Entacapone,,
Carbinoxamine Maleate,R06AA,
Carboplatin,L01XA,
Carfilzomib,L01XG,
Carglumic Acid,A16AA,
Cariprazine HCl,,
Carisoprodol,M03BA,
Carteolol HCl,,
Carvedilol,C07AG,Hypertension
Carvedilol Phosphate,C07AG,Hypertension
Casimersen,M09AX,
Caspofungin Acetate,J02AX,
Cefaclor,J01DC,
Cefadroxil,J01DB,
Cefazolin Sodium,J01DB,
"Cefazolin Sodium/Dextrose,Iso",,
Cefdinir,J01DD,
Cefepime HCl,,
Cefepime HCl In Dextrose 5 %,,
Cefepime In Iso-Osm Dextrose,,
Cefiderocol Sulfate Tosylate,J01DI,
Cefixime,J01DD,
Cefotetan Disodium,J01DC,
Cefoxitin Sodium,J01DC,
"Cefoxitin Sodium/Dextrose,Iso",,
Cefpodoxime Proxetil,J01DD,
Cefprozil,J01DC,
Ceftaroline Fosamil Acetate,J01DI,
Ceftazidime,J01DD,
Ceftazidime In Dextrose5%Water,,
Ceftazidime/Avibactam,,
Ceftolozane/Tazobactam,,
Ceftriaxone In Is-Osm Dextrose,,
Ceftriaxone Sodium,J01DD,
Cefuroxime Axetil,J01DC|S01AA,
Cefuroxime Sodium,J01DC|S01AA,
Celecoxib,C08CA|L01XX|M01AH|N02AJ,Arthritis;Hypertension
Cemiplimab-Rwlc,L01FF,
Cenegermin-Bkbj,S01XA,
Cenobamate,N03AX,
Cephalexin,J01DB,
Ceritinib,L01ED,
Certolizumab PEGol,L04AB,Arthritis
Cetirizine HCl,,
Cetuximab,L01FE,
Cevimeline HCl,,
Chenodiol,,
Chlorambucil,L01AA,
Chlordiazepoxide HCl,,
Chlordiazepoxide/Clidinium Br,,
Chlorhexidine Gluconate,A01AB|B05CA|D08AC|D09AA|R02AA|S01AX|S02AA|S03AA,
Chloroquine Phosphate,P01BA,
Chlorothiazide,C03AA,Hypertension
Chlorpromazine HCl,,
Chlorthalidone,C03BA,Hypertension
Chlorzoxazone,M03BB,
Cholestyramine (With Sugar),,
Cholestyramine/Aspartame,,
Cholic Acid,A05AA,
"Chorionic Gonadotropin, Human",,
Ciclesonide,R01AD|R03BA,
Ciclopirox,D01AE|G01AX,
Ciclopirox Olamine,D01AE|G01AX,
Ciclopirox/Urea/Camph/Men/Euc,,
Cidofovir,J05AB,
Cilostazol,B01AC,
Cimetidine,A02BA,
Cimetidine HCl,,
Cinacalcet HCl,,
Ciprofloxacin,J01MA|S01AE|S02AA|S03AA,
Ciprofloxacin HCl,,
Ciprofloxacin HCl/Dexameth,,
Ciprofloxacin HCl/Fluocinolone,,
Ciprofloxacin In 5 % Dextrose,,
Ciprofloxacin/Hydrocortisone,,
Cisplatin,L01XA,
Citalopram Hydrobromide,N06AB,
Citric Ac/Gluconolact/Mag Carb,,
Citric Acid/Sodium Citrate,,
Cladribine,L01BB|L04AA,Arthritis
Clarithromycin,J01FA,
Clascoterone,D10AX,
Clemastine Fumarate,D04AA|R06AA,
Clindamycin HCl,,
Clindamycin In 0.9 % Sod Chlor,,
Clindamycin Palmitate HCl,,
Clindamycin Phos/Benzoyl Perox,,
Clindamycin Phosphate,D10AF|G01AA|J01FF,
Clindamycin Phosphate/D5W,,
Clindamycin/Tretinoin,,
Clobazam,N05BA,
Clobetasol Propionate,D07AD,
Clobetasol Propionate/Emoll,,
Clocortolone Pivalate,D07AB,
Clomiphene Citrate,G03GB,
Clomipramine HCl,,
Clonazepam,N03AE,
Clonidine,C02AC|N02CX|S01EA,Hypertension
Clonidine HCl,,
Clopidogrel Bisulfate,B01AC,
Clorazepate Dipotassium,N05BA,
Clotrimazole,A01AB|D01AC|G01AF,
Clotrimazole/Betamethasone Dip,,
Clozapine,N05AH,
Cobicistat,J05AR|V03AX,
Cobimetinib Fumarate,L01EE,
Codeine Sulfate,R05DA,
Codeine/Butalbital/Asa/Caffein,,
Colchicine,M04AC,Arthritis
Colesevelam HCl,,
Colestipol HCl,,
Colistin (Colistimethate Na),,
Collagenase Clostridium Hist.,,
Copanlisib Di-HCl,,
Corticotropin,H01AA,
Crisaborole,D11AH,
Crizanlizumab-Tmca,B06AX,
Crizotinib,L01ED,
Crofelemer,A07XA,
Cromolyn Sodium,A07EB|D11AH|R01AC|R03BC|S01GX,
Crotamiton,,
Cyanocobalamin (Vitamin B-12),,
Cyclobenzaprine HCl,,
Cyclopentolate HCl,,
Cyclopentolate/Phenylephrine,,
Cyclophosphamide,L01AA,
Cycloserine,J04AB,
Cyclosporine,L04AD|S01XA,Arthritis
"Cyclosporine, Modified",L04AD|S01XA,Arthritis
CyproHEPtadine HCl,,
Cysteamine Bitartrate,A16AA|S01XA,
Cysteamine HCl,,
Cytarabine,L01BC|L01XY,
Cytarabine/PF,,
Cytomegalovirus Immune Globuln,,
Dabigatran Etexilate Mesylate,B01AE,
Dabrafenib Mesylate,L01EC,
Dacarbazine,L01AX,
Dacomitinib,L01EB,
Dalbavancin HCl,,
Dalfampridine,N07XX,
"Dalteparin Sodium,Porcine",,
Danazol,G03XA,
Dantrolene Sodium,M03CA,
Dapaglifloz Propaned/Metformin,,
Dapagliflozin Propanediol,A10BK,Diabetes
Dapagliflozin/Saxagliptin HCl,,
Dapsone,D10AX|J04BA,
Daptomycin,J01XX,
Daptomycin In 0.9 % Sod Chlor,,
Daratumumab,L01FC,
Daratumumab-Hyaluronidase-Fihj,,
Darbepoetin Alfa In Polysorbat,,
Daridorexant HCl,,
Darifenacin Hydrobromide,G04BD,
Darolutamide,L02BB,
Darunavir,J05AE|J05AR,
Darunavir/Cob/Emtri/Tenof Alaf,,
Darunavir/Cobicistat,,
Dasatinib,L01EA,
Dasiglucagon HCl,,
Decitabine,L01BC,
Decitabine/Cedazuridine,,
Deferasirox,V03AC,
Deferiprone,V03AC,
Deferoxamine Mesylate,V03AC,
Deflazacort,H02AB,
Degarelix Acetate,L02BX,
Delafloxacin Meglumine,J01MA,
Demeclocycline HCl,,
Denosumab,M05BX,
Desipramine HCl,,
Desloratadine,R06AX,
Desloratadine/Pseudoephedrine,,
Desmopressin (Nonrefrigerated),,
Desmopressin Acetate,H01BA,
Desog-E.Estradiol/E.Estradiol,,
Desogestrel-Ethinyl Estradiol,,
Desonide,D07AB|S01BA,
Desoximetasone,D07AC|D07XC,
Desvenlafaxine,N06AX,
Desvenlafaxine Succinate,N06AX,
Deucravacitinib,L04AF,Arthritis
Deutetrabenazine,N07XX,
Dexamethasone,A01AC|C05AA|D07AB|D07XB|D10AA|H02AB|R01AD|S01BA|S01CB|S02BA|S03BA,
