,Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Year,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23,Chg_Avg_Spnd_Per_Dsg_Unt_22_23,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Avg_Spnd_Per_Dsg_Unt_Wghtd,Outlier_Flag,Tot_Benes,Tot_Clms,Tot_Dsg_Unts,Tot_Spndng,ATC_Codes,Disease_Category
156,Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,2020,0.0255537908,-0.121431895,2988.5722819,2988.5722819,25.298106465,0.0,149.0,149.0,17602.0,445297.27,L01XK|L02BX,Other / Not classified
157,Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,2021,0.0255537908,-0.121431895,12789.018922,2735.2969839,23.878332226,0.0,2589.0,12105.0,1386645.0,33110769.99,L01XK|L02BX,Other / Not classified
158,Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,2022,0.0255537908,-0.121431895,13031.753051,3153.0564713,31.059031961,0.0,3104.0,12829.0,1415352.0,40450561.47,L01XK|L02BX,Other / Not classified
159,Abiraterone Acetate,Abiraterone Acetate,1,Northstar Rx Ll,2023,0.0255537908,-0.121431895,9804.6469891,2633.9165039,27.287474866,0.0,6327.0,23552.0,2546049.0,62034001.5,L01XK|L02BX,Other / Not classified
160,Abiraterone Acetate,Abiraterone Acetate,1,Avkare,2019,-0.147712275,,9194.9869767,6589.7406667,55.453638149,0.0,43.0,60.0,7130.0,395384.44,L01XK|L02BX,Other / Not classified
161,Abiraterone Acetate,Abiraterone Acetate,1,Avkare,2020,-0.147712275,,12607.383465,4360.7730479,37.182319979,0.0,101.0,292.0,34246.0,1273345.73,L01XK|L02BX,Other / Not classified
162,Abiraterone Acetate,Abiraterone Acetate,1,Avkare,2021,-0.147712275,,6207.12,2438.5114286,20.320928571,1.0,11.0,28.0,3360.0,68278.32,L01XK|L02BX,Other / Not classified
163,Abiraterone Acetate,Abiraterone Acetate,1,Avkare,2022,-0.147712275,,,,,nan,,,,,L01XK|L02BX,Other / Not classified
164,Abiraterone Acetate,Abiraterone Acetate,1,Avkare,2023,-0.147712275,,5188.6418571,3332.1553211,29.260044308,0.0,70.0,109.0,12413.0,363204.93,L01XK|L02BX,Other / Not classified
165,Abiraterone Acetate,Abiraterone Acetate,1,Novugen Pharma,2019,0.6085212963,0.6085212963,,,,nan,,,,,L01XK|L02BX,Other / Not classified
166,Abiraterone Acetate,Abiraterone Acetate,1,Novugen Pharma,2020,0.6085212963,0.6085212963,,,,nan,,,,,L01XK|L02BX,Other / Not classified
167,Abiraterone Acetate,Abiraterone Acetate,1,Novugen Pharma,2021,0.6085212963,0.6085212963,,,,nan,,,,,L01XK|L02BX,Other / Not classified
168,Abiraterone Acetate,Abiraterone Acetate,1,Novugen Pharma,2022,0.6085212963,0.6085212963,9849.4420588,4784.0147143,60.843020941,0.0,68.0,140.0,13840.0,669762.06,L01XK|L02BX,Other / Not classified
169,Abiraterone Acetate,Abiraterone Acetate,1,Novugen Pharma,2023,0.6085212963,0.6085212963,28483.060523,5892.081037,97.867294912,0.0,3786.0,18302.0,1144387.0,107836867.14,L01XK|L02BX,Other / Not classified
170,Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,2019,-0.148808005,-0.182005176,9651.9088868,4162.957676,36.571535007,0.0,2138.0,4957.0,564258.0,20635781.2,L01XK|L02BX,Other / Not classified
171,Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,2020,-0.148808005,-0.182005176,14446.790682,3363.3247685,29.561405933,0.0,12624.0,54225.0,6169405.0,182376285.57,L01XK|L02BX,Other / Not classified
172,Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,2021,-0.148808005,-0.182005176,14908.65419,2778.2964211,24.81404082,0.0,15670.0,84087.0,9414775.0,233618611.16,L01XK|L02BX,Other / Not classified
173,Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,2022,-0.148808005,-0.182005176,13436.931605,2620.5621489,23.469441576,0.0,16102.0,82563.0,9218859.0,216361472.7,L01XK|L02BX,Other / Not classified
174,Abiraterone Acetate,Abiraterone Acetate,1,Novadoz Pharmac,2023,-0.148808005,-0.182005176,9645.9101636,2153.9122917,19.197881724,1.0,23225.0,104009.0,11669322.0,224026263.55,L01XK|L02BX,Other / Not classified
175,Abiraterone Acetate,Abiraterone Acetate,1,Amneal Pharmace,2019,0.1724577411,0.3403255541,16520.622642,5401.8146105,46.37267548,0.0,1234.0,3774.0,439622.0,20386448.34,L01XK|L02BX,Other / Not classified
